xp,xv,angle,w
2.056120964918423333e+00,-9.654689650850825089e-01,-6.463268740649995292e-02,1.435955685506748181e-01
2.046440122840955222e+00,-9.706750686652280136e-01,-6.320207950815810716e-02,1.425251010509330785e-01
2.036707948668358359e+00,-9.757356343329588455e-01,-6.178220287308908154e-02,1.414493859345915261e-01
2.026925890288603149e+00,-9.806521587699130738e-01,-6.037310789830752089e-02,1.403688368661931696e-01
2.017095380669420290e+00,-9.854261293325310422e-01,-5.897484090864512501e-02,1.392838546681955669e-01
2.007217837951833062e+00,-9.900590239975209927e-01,-5.758744428366467660e-02,1.381948276217737082e-01
1.997294665544192105e+00,-9.945523113156027328e-01,-5.621095658158309361e-02,1.371021317641992754e-01
1.987327252216634310e+00,-9.989074503730867027e-01,-5.484541266023828382e-02,1.360061311826657182e-01
1.977316972195887645e+00,-1.003125890760860228e+00,-5.349084379513610599e-02,1.349071783044379080e-01
1.967265185260351101e+00,-1.007209072550370399e+00,-5.214727779461461599e-02,1.338056141832148493e-01
1.957173236835381358e+00,-1.011158426276207667e+00,-5.081473911216410205e-02,1.327017687816028635e-01
1.947042458088723116e+00,-1.014975372924905361e+00,-4.949324895594218315e-02,1.315959612496054865e-01
1.936874166026020250e+00,-1.018661323929591855e+00,-4.818282539552432714e-02,1.304885001990450377e-01
1.926669663586353831e+00,-1.022217681170140002e+00,-4.688348346593078364e-02,1.293796839738391713e-01
1.916430239737752839e+00,-1.025645836978474890e+00,-4.559523526897178020e-02,1.282698009160637143e-01
1.906157169572626264e+00,-1.028947174148715282e+00,-4.431809007195341987e-02,1.271591296277413408e-01
1.895851714403071320e+00,-1.032123065951836560e+00,-4.305205440378728071e-02,1.260479392283026245e-01
1.885515121856014442e+00,-1.035174876154554280e+00,-4.179713214854723080e-02,1.249364896076739229e-01
1.875148625968142690e+00,-1.038103959042144808e+00,-4.055332463651740993e-02,1.238250316749532343e-01
1.864753447280588450e+00,-1.040911659444925252e+00,-3.932063073277562021e-02,1.227138076026420971e-01
1.854330792933332805e+00,-1.043599312768133558e+00,-3.809904692335677051e-02,1.216030510664080216e-01
1.843881856759293392e+00,-1.046168245024954979e+00,-3.688856739904107507e-02,1.204929874803583739e-01
1.833407819378067627e+00,-1.048619772872458666e+00,-3.568918413681206742e-02,1.193838342278123604e-01
1.822909848289302914e+00,-1.050955203650212999e+00,-3.450088697902939372e-02,1.182758008875636896e-01
1.812389097965668494e+00,-1.053175835421364059e+00,-3.332366371036154379e-02,1.171690894556318141e-01
1.801846709945404301e+00,-1.055282957015968304e+00,-3.215750013252365036e-02,1.160638945625048907e-01
1.791283812924427066e+00,-1.057277848076382254e+00,-3.100238013686532068e-02,1.149604036858824646e-01
1.780701522847972118e+00,-1.059161779104522250e+00,-2.985828577485352686e-02,1.138587973589307162e-01
1.770100943001754468e+00,-1.060936011510813737e+00,-2.872519732649529006e-02,1.127592493740673524e-01
1.759483164102632724e+00,-1.062601797664663561e+00,-2.760309336674479294e-02,1.116619269822975713e-01
1.748849264388761204e+00,-1.064160380946290507e+00,-2.649195082993926684e-02,1.105669910881263845e-01
1.738200309709217128e+00,-1.065612995799765761e+00,-2.539174507230775729e-02,1.094745964400763438e-01
1.727537353613092908e+00,-1.066960867787115852e+00,-2.430244993259654540e-02,1.083848918168432846e-01
1.716861437438041982e+00,-1.068205213643353968e+00,-2.322403779085469022e-02,1.072980202091257662e-01
1.706173590398270212e+00,-1.069347241332308629e+00,-2.215647962542272031e-02,1.062141189971672617e-01
1.695474829671966166e+00,-1.070388150103130043e+00,-2.109974506816718678e-02,1.051333201240527288e-01
1.684766160488162523e+00,-1.071329130547357789e+00,-2.005380245800329406e-02,1.040557502648039728e-01
1.674048576213025052e+00,-1.072171364656443471e+00,-1.901861889274738399e-02,1.029815309913206939e-01
1.663323058435564716e+00,-1.072916025879624868e+00,-1.799416027934057360e-02,1.019107789332163172e-01
1.652590577052768683e+00,-1.073564279182057879e+00,-1.698039138248435415e-02,1.008436059345998864e-01
1.641852090354150473e+00,-1.074117281103116772e+00,-1.597727587172841773e-02,9.978011920685700420e-02
1.631108545105715235e+00,-1.074576179814777044e+00,-1.498477636705045080e-02,9.872042147748492924e-02
1.620360876633342162e+00,-1.074942115180005819e+00,-1.400285448296707813e-02,9.766461113503803471e-02
1.609610008905582479e+00,-1.075216218811083868e+00,-1.303147087121454828e-02,9.661278237024174820e-02
1.598856854615876122e+00,-1.075399614127792391e+00,-1.207058526203719923e-02,9.556502531333392614e-02
1.588102315264185327e+00,-1.075493416415402415e+00,-1.112015650412111721e-02,9.452142616769414196e-02
1.577347281238052012e+00,-1.075498732882405051e+00,-1.018014260320981509e-02,9.348206733982206140e-02
1.566592631893077403e+00,-1.075416662717932681e+00,-9.250500759438114867e-03,9.244702756572702185e-02
1.555839235632830331e+00,-1.075248297148815757e+00,-8.331187403419822168e-03,9.141638203379191807e-02
1.545087949988186660e+00,-1.074994719496233930e+00,-7.422158231124124927e-03,9.039020250417457991e-02
1.534339621696104272e+00,-1.074657005231915763e+00,-6.523368237575022030e-03,8.936855742481095155e-02
1.523595086777838947e+00,-1.074236222033850385e+00,-5.634771749407446045e-03,8.835151204408427106e-02
